選舉類型,擬參選人,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,公共關係費用支出
99年彰化縣二水鄉村長,楊圳江,0,0,22000,0,0,0,0,12000,0,0,0,0,10000,0,0,0
99年彰化縣二水鄉村長,陳陽,442000,0,0,0,0,6,116000,92650,18800,20500,92940,7289,21319,0,0,80000
99年彰化縣伸港鄉鄉民代表,柯玲蘭,13000,10000,22000,0,0,1,16000,32910,0,0,6000,4476,5200,0,0,0
99年彰化縣伸港鄉鄉民代表,洪榮興,120000,0,0,0,0,0,0,97100,0,0,0,0,29770,0,0,0
99年彰化縣北斗鎮鎮民代表,鄭俊宏,10650,0,0,0,0,0,0,7900,0,0,12070,0,14050,0,0,0
99年彰化縣和美鎮鎮民代表,周君綾,17000,81000,2000,0,0,0,0,5400,51031,0,18333,1600,5646,0,0,43350
99年彰化縣和美鎮鎮民代表,林明生,17200,19000,22000,6000,4600,0,0,85400,0,0,0,0,40000,0,0,0
99年彰化縣和美鎮鎮民代表,林玉晴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年彰化縣和美鎮鎮民代表,王東霖,0,0,0,0,0,0,0,17515,0,0,0,0,0,0,0,0
99年彰化縣員林鎮鎮民代表,張國良,232600,30000,0,0,0,6,0,378924,27541,0,40000,0,18525,0,0,0
99年彰化縣員林鎮鎮民代表,陳秋蓉,333000,6000,2000,0,98000,8,49240,319825,0,0,35520,10505,93157,0,0,9000
99年彰化縣彰化市市民代表,林士聖,50000,80000,0,0,0,0,50000,421820,1785,43710,138435,0,26352,0,0,0
99年彰化縣彰化市市民代表,林大傑,115000,200000,0,0,0,0,43000,258571,0,0,0,13433,10976,0,0,0
99年彰化縣彰化市市民代表,林榮堯,106600,0,0,0,0,0,0,100000,25000,0,0,0,0,0,0,0
99年彰化縣彰化市市民代表,林雨良,0,100000,2000,0,0,0,4000,275,0,0,56426,765,55416,0,0,0
99年彰化縣彰化市市民代表,葉孟家,222000,20000,2000,0,13000,0,0,206600,32400,0,18000,0,0,0,0,0
99年彰化縣彰化市市民代表,蔡裕昌,217500,14000,0,0,0,0,176750,32039,0,0,20000,4663,42982,0,0,0
99年彰化縣彰化市市民代表,陳麗娟,65600,77200,0,0,6000,1,31850,264498,0,18080,2500,1435,19384,0,0,5550
99年彰化縣彰化市里長,林正吉,0,0,2000,0,0,0,0,0,0,0,0,0,8180,0,0,0
